[[-5,0,0],{"type":"fight"}]
[[231,1484274458661],[30,231],[2,60,1]]
[[232,1484274458706],[30,232],[2,60,1]]
[[233,1484274458761],[30,233],[2,60,1]]
[[234,1484274458808],[30,234],[2,60,1],[3,60,1,7061]]
[[235,1484274458862],[30,235]]
[[236,1484274458906],[30,236]]
[[237,1484274458959],[30,237],[10,"60_0",1,"5_2"]]
[[238,1484274459013],[30,238],[10,"60_1",1,"5_2"]]
[[239,1484274459061],[30,239]]
[[240,1484274459106],[30,240],[3,60,1,7061]]
[[241,1484274459153],[30,241]]
[[242,1484274459211],[30,242]]
[[243,1484274459257],[30,243]]
[[244,1484274459304],[30,244]]
[[245,1484274459362],[30,245]]
[[246,1484274459408],[30,246],[3,60,1,7061]]
[[247,1484274459454],[30,247],[2,60,1],[10,"60_2",1,"6_2"]]
[[248,1484274459509],[30,248],[2,60,1],[10,"60_3",1,"6_2"]]
[[249,1484274459554],[30,249],[2,60,1]]
[[250,1484274459611],[30,250],[2,60,1]]
[[251,1484274459658],[30,251],[2,60,1]]
[[252,1484274459713],[30,252],[2,60,1]]
[[253,1484274459756],[30,253],[2,60,1]]
[[254,1484274459803],[30,254],[2,60,1]]
[[255,1484274459861],[30,255],[2,60,1]]
[[256,1484274459907],[30,256],[2,60,1],[10,"60_4",1,"7_2"],[10,"60_5",1,"7_2"]]
[[257,1484274459954],[30,257],[2,60,1]]
[[258,1484274460005],[30,258],[2,60,1]]
[[259,1484274460063],[30,259],[2,60,1]]
[[260,1484274460106],[30,260],[2,60,1]]
[[261,1484274460163],[30,261],[2,60,1]]
[[262,1484274460209],[30,262],[2,60,1]]
[[263,1484274460256],[30,263],[2,60,1],[3,60,1,7061]]
[[264,1484274460312],[30,264],[2,60,1]]
[[265,1484274460357],[30,265],[2,60,1]]
[[266,1484274460411],[30,266],[2,60,1]]
[[267,1484274460458],[30,267],[2,60,1]]
[[268,1484274460512],[30,268],[2,60,1],[3,60,1,7061]]
[[269,1484274460559],[30,269],[2,60,1]]
[[270,1484274460604],[30,270],[2,60,1]]
[[271,1484274460658],[30,271],[2,60,1]]
[[272,1484274460711],[30,272],[2,60,1]]
[[273,1484274460758],[30,273]]
[[274,1484274460813],[30,274],[1,60,4],[3,60,1,7061]]
[[275,1484274460858],[30,275],[1,60,4]]
[[276,1484274460914],[30,276],[2,60,4]]
[[277,1484274460958],[30,277],[2,60,4]]
[[278,1484274461013],[30,278],[2,60,4],[10,"60_6",1,"11_2"],[10,"60_7",1,"11_2"]]
[[279,1484274461057],[30,279],[2,60,4],[3,60,4,7061]]
[[280,1484274461111],[30,280],[10,"60_8",1,"11_2"],[10,"60_9",1,"11_2"]]
[[281,1484274461153],[30,281]]
[[282,1484274461208],[30,282]]
[[283,1484274461254],[30,283]]
[[284,1484274461312],[30,284]]
[[285,1484274461359],[30,285]]
[[286,1484274461403],[30,286],[3,60,4,7061]]
[[287,1484274461458],[30,287],[10,"60_10",1,"8_6"]]
[[288,1484274461503],[30,288],[10,"60_11",1,"8_6"]]
[[289,1484274461558],[30,289]]
[[290,1484274461614],[30,290]]
[[291,1484274461660],[30,291],[2,60,4]]
[[292,1484274461707],[30,292],[2,60,4],[3,60,4,7061]]
[[293,1484274461753],[30,293],[2,60,4]]
[[294,1484274461811],[30,294],[2,60,4]]
[[295,1484274461856],[30,295],[2,60,4]]
[[296,1484274461911],[30,296],[2,60,4]]
[[297,1484274461958],[30,297],[2,60,4],[10,"60_12",1,"8_8"],[10,"60_13",1,"8_8"],[3,60,4,7061]]
[[298,1484274462014],[30,298],[2,60,4]]
[[299,1484274462057],[30,299],[2,60,4]]
[[300,1484274462113],[30,300],[2,60,4]]
[[301,1484274462158],[30,301],[2,60,4]]
[[302,1484274462205],[30,302],[2,60,4],[3,60,4,7061]]
[[303,1484274462260],[30,303],[2,60,4],[10,"60_14",1,"8_8"],[10,"60_15",1,"8_8"]]
[[304,1484274462312],[30,304],[2,60,4]]
[[305,1484274462357],[30,305],[2,60,4]]
[[306,1484274462403],[30,306],[2,60,4]]
[[307,1484274462462],[30,307],[2,60,4],[10,"60_16",1,"8_8"],[10,"60_17",1,"8_8"],[3,60,4,7061]]
[[308,1484274462508],[30,308],[2,60,4]]
[[309,1484274462553],[30,309],[2,60,4],[10,"60_18",1,"8_8"],[10,"60_19",1,"8_8"]]
[[310,1484274462606],[30,310],[2,60,4]]
[[311,1484274462659],[30,311],[1,60,1]]
[[312,1484274462703],[30,312],[1,60,1],[10,"60_20",1,"8_8"],[10,"60_21",1,"8_8"],[3,60,4,7061]]
[[313,1484274462756],[30,313]]
[[314,1484274462809],[30,314],[2,60,1]]
[[315,1484274462856],[30,315],[2,60,1],[10,"60_22",1,"8_8"]]
[[316,1484274462913],[30,316],[2,60,1],[10,"60_23",1,"8_8"],[10,"60_24",1,"9_6"]]
[[317,1484274462956],[30,317],[10,"60_25",1,"9_6"]]
[[318,1484274463010],[30,318],[3,60,1,7061]]
[[319,1484274463054],[30,319]]
[[320,1484274463112],[30,320]]
[[321,1484274463158],[30,321]]
[[322,1484274463205],[30,322]]
[[323,1484274463255],[30,323]]
[[324,1484274463309],[30,324],[3,60,1,7061]]
[[325,1484274463355],[30,325]]
[[326,1484274463414],[30,326]]
[[327,1484274463460],[30,327],[2,60,1]]
[[328,1484274463505],[30,328],[2,60,1]]
[[329,1484274463561],[30,329],[2,60,1]]
[[330,1484274463609],[30,330],[2,60,1],[3,60,1,7061]]
[[331,1484274463653],[30,331],[2,60,1]]
[[332,1484274463709],[30,332],[2,60,1]]
[[333,1484274463761],[30,333],[2,60,1]]
[[334,1484274463808],[30,334],[2,60,1]]
[[335,1484274463854],[30,335],[2,60,1]]
[[336,1484274463909],[30,336],[2,60,1]]
[[337,1484274463954],[30,337],[2,60,1],[3,60,1,7061]]
[[338,1484274464007],[30,338],[2,60,1]]
[[339,1484274464061],[30,339],[2,60,1]]
[[340,1484274464105],[30,340]]
[[341,1484274464163],[30,341],[1,60,4]]
[[342,1484274464209],[30,342],[1,60,4]]
[[343,1484274464263],[30,343],[2,60,4],[3,60,1,7061]]
[[344,1484274464308],[30,344],[2,60,4]]
[[345,1484274464353],[30,345],[2,60,4]]
[[346,1484274464412],[30,346]]
[[347,1484274464458],[30,347]]
[[348,1484274464505],[30,348],[1,60,1]]
[[349,1484274464558],[30,349],[1,60,1],[3,60,4,7061]]
[[350,1484274464612],[30,350],[2,60,1],[10,"60_34",1,"8_8"],[10,"60_35",1,"8_8"]]
[[351,1484274464656],[30,351],[2,60,1]]
[[352,1484274464714],[30,352],[2,60,1]]
[[353,1484274464760],[30,353],[2,60,1]]
[[354,1484274464807],[30,354],[2,60,1]]
[[355,1484274464861],[30,355],[2,60,1],[3,60,1,7061]]
[[356,1484274464906],[30,356],[2,60,1]]
[[357,1484274464963],[30,357],[2,60,1]]
[[358,1484274465007],[30,358],[2,60,1]]
[[359,1484274465062],[30,359],[2,60,1]]
[[360,1484274465109],[30,360],[2,60,1],[3,60,1,7061]]
[[361,1484274465155],[30,361],[2,60,1]]
[[362,1484274465213],[30,362]]
[[363,1484274465258],[30,363],[1,60,4]]
[[364,1484274465306],[30,364],[1,60,4],[3,60,1,7061]]
[[365,1484274465364],[30,365],[2,60,4]]
[[366,1484274465410],[30,366],[2,60,4]]
[[367,1484274465457],[30,367],[2,60,4]]
[[368,1484274465503],[30,368]]
[[369,1484274465560],[30,369]]
[[370,1484274465606],[30,370],[10,"60_42",1,"10_8"],[3,60,4,7061]]
[[371,1484274465664],[30,371],[10,"60_43",1,"10_8"]]
[[372,1484274465708],[30,372]]
[[373,1484274465762],[30,373]]
[[374,1484274465805],[30,374]]
[[375,1484274465863],[30,375]]
[[376,1484274465910],[30,376]]
[[377,1484274465954],[30,377],[3,60,4,7061]]
[[378,1484274466012],[30,378]]
[[379,1484274466057],[30,379]]
[[380,1484274466103],[30,380]]
[[381,1484274466162],[30,381]]
[[382,1484274466206],[30,382]]
[[383,1484274466253],[30,383],[3,60,4,7061]]
[[384,1484274466311],[30,384]]
[[385,1484274466354],[30,385]]
[[386,1484274466409],[30,386],[1,60,1]]
[[387,1484274466453],[30,387],[1,60,1]]
[[388,1484274466508],[30,388],[2,60,1],[3,60,1,7061]]
[[389,1484274466553],[30,389]]
[[390,1484274466610],[30,390],[2,60,1]]
[[391,1484274466656],[30,391],[2,60,1]]
[[392,1484274466711],[30,392],[2,60,1]]
[[393,1484274466757],[30,393]]
[[394,1484274466804],[30,394]]
[[395,1484274466862],[30,395]]
[[396,1484274466906],[30,396],[3,60,1,7061]]
[[397,1484274466963],[30,397],[1,60,4]]
[[398,1484274467006],[30,398],[1,60,4]]
[[399,1484274467062],[30,399],[2,60,4]]
[[400,1484274467109],[30,400],[2,60,4]]
[[401,1484274467153],[30,401],[2,60,4]]
[[402,1484274467208],[30,402],[2,60,4],[3,60,4,7061]]
[[403,1484274467263],[30,403],[2,60,4]]
[[404,1484274467307],[30,404],[2,60,4]]
[[405,1484274467361],[30,405],[2,60,4]]
[[406,1484274467407],[30,406],[2,60,4]]
[[407,1484274467453],[30,407],[2,60,4]]
[[408,1484274467509],[30,408],[2,60,4],[3,60,4,7061]]
[[409,1484274467555],[30,409],[2,60,4]]
[[410,1484274467609],[30,410],[2,60,4]]
[[411,1484274467653],[30,411],[2,60,4]]
[[412,1484274467709],[30,412],[2,60,4]]
[[413,1484274467755],[30,413],[2,60,4]]
[[414,1484274467814],[30,414],[2,60,4],[3,60,4,7061]]
[[415,1484274467858],[30,415],[2,60,4]]
[[416,1484274467910],[30,416]]
[[417,1484274467956],[30,417]]
[[418,1484274468011],[30,418]]
[[419,1484274468062],[30,419]]
[[420,1484274468109],[30,420]]
[[421,1484274468155],[30,421],[1,60,1]]
[[422,1484274468213],[30,422],[1,60,1],[2,60,1]]
[[423,1484274468258],[30,423]]
[[424,1484274468314],[30,424],[2,60,1]]
[[425,1484274468358],[30,425]]
[[426,1484274468410],[30,426]]
[[427,1484274468455],[30,427]]
[[428,1484274468505],[30,428]]
[[429,1484274468553],[30,429]]
[[430,1484274468612],[30,430]]
[[431,1484274468660],[30,431],[1,60,4]]
[[432,1484274468707],[30,432],[1,60,4]]
[[433,1484274468754],[30,433],[2,60,4],[3,60,1,7061]]
[[434,1484274468812],[30,434],[2,60,4]]
[[435,1484274468857],[30,435],[2,60,4]]
[[436,1484274468914],[30,436],[2,60,4]]
[[437,1484274468959],[30,437],[2,60,4]]
[[438,1484274469006],[30,438],[2,60,4]]
[[439,1484274469061],[30,439],[2,60,4],[3,60,4,7061]]
[[440,1484274469108],[30,440],[2,60,4]]
[[441,1484274469163],[30,441],[2,60,4]]
[[442,1484274469207],[30,442],[2,60,4]]
[[443,1484274469253],[30,443],[2,60,4]]
[[444,1484274469309],[30,444],[2,60,4],[3,60,4,7061]]
[[445,1484274469354],[30,445],[2,60,4]]
[[446,1484274469409],[30,446],[2,60,4]]
[[447,1484274469453],[30,447],[2,60,4]]
[[448,1484274469508],[30,448],[2,60,4]]
[[449,1484274469555],[30,449]]
[[450,1484274469613],[30,450],[2,60,4],[3,60,4,7061]]
[[451,1484274469660],[30,451],[2,60,4]]
[[452,1484274469706],[30,452],[2,60,4]]
[[453,1484274469763],[30,453],[2,60,4]]
[[454,1484274469805],[30,454],[2,60,4]]
[[455,1484274469862],[30,455],[2,60,4],[3,60,4,7061]]
[[456,1484274469908],[30,456],[2,60,4]]
[[457,1484274469963],[30,457],[1,60,1]]
[[458,1484274470008],[30,458],[1,60,1]]
[[459,1484274470064],[30,459],[2,60,1]]
[[460,1484274470109],[30,460],[2,60,1]]
[[461,1484274470153],[30,461],[2,60,1],[3,60,1,7061]]
[[462,1484274470206],[30,462]]
[[463,1484274470262],[30,463]]
[[464,1484274470306],[30,464]]
[[465,1484274470363],[30,465],[9,"60_70",1,"129_1"],[9,"60_71",1,"129_1"]]
[[466,1484274470410],[30,466]]
[[467,1484274470454],[30,467],[3,60,1,7061]]
[[468,1484274470510],[30,468]]
[[469,1484274470556],[30,469]]
[[470,1484274470612],[30,470]]
[[471,1484274470658],[30,471]]
[[472,1484274470705],[30,472]]
[[473,1484274470763],[30,473],[3,60,1,7061]]
[[474,1484274470809],[30,474]]
[[475,1484274470855],[30,475],[1,60,4]]
[[476,1484274470913],[30,476],[1,60,4]]
[[477,1484274470959],[30,477],[2,60,4]]
[[478,1484274471012],[30,478],[2,60,4]]
[[479,1484274471053],[30,479],[2,60,4],[3,60,4,7061]]
[[480,1484274471111],[30,480],[2,60,4]]
[[481,1484274471157],[30,481],[2,60,4]]
[[482,1484274471204],[30,482],[2,60,4]]
[[483,1484274471260],[30,483],[2,60,4]]
[[484,1484274471304],[30,484],[2,60,3]]
[[485,1484274471360],[30,485],[2,60,3],[3,60,4,7061]]
[[486,1484274471403],[30,486],[2,60,3]]
[[487,1484274471458],[30,487],[2,60,3]]
[[488,1484274471505],[30,488],[2,60,3]]
[[489,1484274471561],[30,489],[2,60,3]]
[[490,1484274471608],[30,490],[2,60,3]]
[[491,1484274471656],[30,491],[2,60,3],[3,60,3,7061]]
[[492,1484274471711],[30,492],[2,60,3],[10,"60_78",1,"9_9"],[10,"60_79",1,"9_9"]]
[[493,1484274471757],[30,493],[2,60,3]]
[[494,1484274471811],[30,494],[2,60,3]]
[[495,1484274471854],[30,495],[2,60,3]]
[[496,1484274471911],[30,496],[2,60,3],[10,"60_80",1,"9_9"],[3,60,3,7061]]
[[497,1484274471958],[30,497],[2,60,3]]
[[498,1484274472004],[30,498],[2,60,3],[10,"60_81",1,"8_9"]]
[[499,1484274472063],[30,499],[2,60,3]]
[[500,1484274472109],[30,500],[2,60,3]]
[[501,1484274472156],[30,501],[2,60,3],[3,60,3,7061],[10,"60_82",1,"8_9"]]
[[502,1484274472213],[30,502],[2,60,3]]
[[503,1484274472260],[30,503]]
[[504,1484274472315],[30,504],[2,60,3]]
[[505,1484274472357],[30,505],[2,60,3]]
[[506,1484274472411],[30,506],[2,60,3],[3,60,3,7062]]
[[507,1484274472458],[30,507],[2,60,3]]
[[508,1484274472509],[30,508],[2,60,3],[9,"60_83",1,"123_1"]]
[[509,1484274472553],[30,509],[2,60,3]]
[[510,1484274472609],[30,510],[2,60,3],[9,"60_86",1,60],[9,"60_84",1,"123_1"],[9,"60_85",1,"123_1"]]
[[511,1484274472655],[30,511]]
[[512,1484274472713],[30,512],[2,60,3],[3,60,3,7061]]
[[513,1484274472759],[30,513],[2,60,3]]
[[514,1484274472806],[30,514],[2,60,3]]
[[515,1484274472864],[30,515],[2,60,3]]
[[516,1484274472905],[30,516],[2,60,3],[3,60,3,7061]]
[[517,1484274472964],[30,517],[2,60,3]]
[[518,1484274473009],[30,518],[2,60,3]]
[[519,1484274473053],[30,519],[2,60,3],[10,"60_87",1,"5_9"]]
[[520,1484274473108],[30,520],[2,60,3],[10,"60_88",1,"5_9"]]
[[521,1484274473154],[30,521],[2,60,3],[3,60,3,7061]]
[[522,1484274473211],[30,522],[2,60,3],[10,"60_89",1,"5_9"],[10,"60_90",1,"5_9"]]
[[523,1484274473253],[30,523],[2,60,3]]
[[524,1484274473308],[30,524],[2,60,3]]
[[525,1484274473353],[30,525],[2,60,3]]
[[526,1484274473410],[30,526],[2,60,3],[3,60,3,7061]]
[[527,1484274473456],[30,527],[2,60,3]]
[[528,1484274473514],[30,528],[2,60,3]]
[[529,1484274473559],[30,529],[2,60,3]]
[[530,1484274473615],[30,530],[2,60,3]]
[[531,1484274473662],[30,531],[2,60,3],[3,60,3,7061]]
[[532,1484274473706],[30,532],[2,60,3]]
[[533,1484274473760],[30,533],[2,60,3],[10,"60_91",1,"2_9"],[10,"60_92",1,"2_9"]]
[[534,1484274473806],[30,534],[2,60,3]]
[[535,1484274473862],[30,535],[2,60,3]]
[[536,1484274473909],[30,536],[2,60,3],[10,"60_93",1,"2_9"],[10,"60_94",1,"2_9"],[3,60,3,7061]]
[[537,1484274473955],[30,537],[2,60,3]]
[[538,1484274474010],[30,538],[2,60,3]]
[[539,1484274474064],[30,539],[2,60,3]]
[[540,1484274474111],[30,540],[2,60,3]]
[[541,1484274474157],[30,541],[2,60,3]]
[[542,1484274474203],[30,542],[2,60,3],[3,60,3,7061]]
[[543,1484274474257],[30,543],[2,60,3]]
[[544,1484274474303],[30,544],[2,60,3]]
[[545,1484274474359],[30,545],[2,60,3],[9,"60_95",1,"117_1"],[9,"60_96",1,"117_1"]]
[[546,1484274474404],[30,546],[2,60,3],[9,"60_97",1,"117_1"]]
[[547,1484274474456],[30,547],[2,60,3],[9,"60_98",1,"117_1"],[3,60,3,7061]]
[[548,1484274474511],[30,548],[2,60,3]]
[[549,1484274474559],[30,549],[2,60,3]]
[[550,1484274474605],[30,550],[2,60,3]]
[[551,1484274474663],[30,551],[2,60,3]]
[[552,1484274474710],[30,552],[2,60,3],[3,60,3,7061]]
[[553,1484274474754],[30,553],[2,60,3]]
[[554,1484274474810],[30,554],[2,60,3]]
[[555,1484274474853],[30,555],[2,60,3]]
[[556,1484274474908],[30,556],[2,60,3]]
[[557,1484274474954],[30,557],[2,60,3]]
[[558,1484274475012],[30,558],[2,60,3],[3,60,3,7061]]
[[559,1484274475057],[30,559],[2,60,3]]
[[560,1484274475105],[30,560],[2,60,3]]
[[561,1484274475157],[30,561],[2,60,3]]
[[562,1484274475212],[30,562],[2,60,3],[3,60,3,7061]]
[[563,1484274475255],[30,563],[2,60,3]]
[[564,1484274475314],[30,564]]
[[565,1484274475356],[30,565],[2,60,3]]
[[566,1484274475413],[30,566],[2,60,3]]
[[567,1484274475458],[30,567],[2,60,3]]
[[568,1484274475504],[30,568]]
[[569,1484274475560],[30,569]]
[[570,1484274475604],[30,570],[2,60,3],[3,60,3,7061]]
[[571,1484274475662],[30,571]]
[[572,1484274475705],[30,572]]
[[573,1484274475758],[30,573]]
[[574,1484274475803],[30,574],[1,60,1]]
[[575,1484274475859],[30,575],[1,60,1],[3,60,3,7061]]
[[576,1484274475905],[30,576],[2,60,1]]
[[577,1484274475959],[30,577],[2,60,1]]
[[578,1484274476014],[30,578],[2,60,1]]
[[579,1484274476061],[30,579]]
[[580,1484274476106],[30,580]]
[[581,1484274476161],[30,581],[3,60,1,7061]]
[[582,1484274476205],[30,582]]
[[583,1484274476261],[30,583]]
[[584,1484274476305],[30,584]]
[[585,1484274476358],[30,585]]
[[586,1484274476405],[30,586]]
[[587,1484274476463],[30,587],[9,"117_2_0",2,60],[9,"117_2_1",2,60],[3,60,1,7061]]
[[588,1484274476509],[30,588]]
[[589,1484274476556],[30,589]]
[[590,1484274476614],[30,590]]
[[591,1484274476658],[30,591]]
[[592,1484274476704],[30,592],[9,"60_111",1,"123_2"],[9,"60_112",1,"123_2"]]
[[593,1484274476764],[30,593],[3,60,1,7061]]
[[594,1484274476811],[30,594]]
[[595,1484274476858],[30,595]]
[[596,1484274476903],[30,596]]
[[597,1484274476962],[30,597]]
[[598,1484274477009],[30,598]]
[[599,1484274477055],[30,599],[3,60,1,7061]]
[[600,1484274477113],[30,600],[9,"60_113",1,"123_2"],[9,"60_114",1,"123_2"]]
[[601,1484274477160],[30,601],[10,"123_2_0",2,"6_5"]]
[[602,1484274477206],[30,602]]
[[603,1484274477265],[30,603]]
[[604,1484274477311],[30,604]]
[[605,1484274477357],[30,605],[3,60,1,7061]]
[[606,1484274477415],[30,606]]
[[607,1484274477461],[30,607]]
[[608,1484274477508],[30,608]]
[[609,1484274477553],[30,609]]
[[610,1484274477610],[30,610]]
[[611,1484274477657],[30,611],[3,60,1,7061]]
